TID,Category,Description,Pre-conditions,Steps,Expected,Priority
TC_API_021,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_022,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_023,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_024,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_025,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_026,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_027,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_028,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_029,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_030,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_031,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_032,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_033,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_034,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_035,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_036,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_037,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_038,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_039,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_040,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_041,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_042,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_043,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_044,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_045,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_046,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_047,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_048,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_049,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_050,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_051,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_052,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_053,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_054,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_055,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_056,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_057,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_058,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_059,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_060,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_061,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_062,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_063,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_064,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_065,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_066,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_067,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_068,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_069,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_070,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_071,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_072,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_073,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_074,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_075,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_076,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_077,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_078,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_079,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
TC_API_080,Various,Refer generated test cases from conversation,API accessible,Execute scenario as documented,Expected behavior validated,Medium
